Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.8,12 Mar,15:00,Pairc O Ruairc-Balkill Road,Beann Eadair B,"
										W/O
									","
										W/O
									",Croi Ro Naofa,Kevin McDonnell - St Vincents
U16 Football League Div.8,12 Mar,15:00,Bellgree Pitch,Tyrrelstown,"
										1-4
									","
										8-12
									",St Patricks P,Dave Foley St Peregrines
U16 Football League Div.8,26 Feb,15:00,Glenaulin Park,St Patricks P,"
										W/O
									","
										W/O
									",Beann Eadair B,Paul Cullivan St Annes
U16 Football League Div.8,26 Feb,15:00,St Annes 23,Clontarf B,"
										3-20
									","
										2-4
									",Tyrrelstown,George Williams -Trinity Gaels
U16 Football League Div.7,09 Jul,15:30,Loreto Park,Ballinteer St Johns B,"
										W/O
									","
										W/O
									",Lucan Sarsfields B,TBC
U16 Football League Div.7,09 Jul,14:00,Ballycullen,Ballyboden St Endas C,"
										W/O
									","
										W/O
									",St Finians N,Senan Finucane-Templeogue Synge Street
U16 Football League Div.7,30 Jun,19:30,Shanganagh Park,Cuala B,"
										0-16
									","
										1-15
									",St Sylvesters B,John Doherty Robert Emmets
U16 Football League Div.7,26 Jun,13:30,Pearse Park,St Agnes Crumlin Robert Emmets,"
										4-11
									","
										1-7
									",Na Fianna B,Dave O Donovan St Marks
U16 Football League Div.7,21 May,15:30,Johnstown Park,Na Fianna B,"
										5-6
									","
										1-8
									",St Finians N,Kenneth Rooney Naomh Fionnbarra
U16 Football League Div.7,21 May,14:00,Bridgefield,St Sylvesters B,"
										8-16
									","
										0-3
									",Ballinteer St Johns B,Aoife Farrell Whitehall Colmcille
U16 Football League Div.7,17 May,19:30,Newcastle,St Finians N,"
										2-7
									","
										3-12
									",Cuala B,Dean Alford Round Towers C
U16 Football League Div.7,17 May,19:30,Arthur Griffith Park,Lucan Sarsfields B,"
										7-5
									","
										4-9
									",St Agnes Crumlin Robert Emmets,Philip Carr-Round Towers C
U16 Football League Div.7,17 May,19:30,Collinstown,Na Fianna B,"
										2-9
									","
										1-3
									",Ballinteer St Johns B,PJ Murray-St Finians S
U16 Football League Div.7,17 May,19:30,Malahide Castle,St Sylvesters B,"
										3-21
									","
										1-7
									",Ballyboden St Endas C,Adrian Kavanagh Naomh Mearnog
U16 Football League Div.7,07 May,15:00,Ballycullen,Ballyboden St Endas C,"
										0-4
									","
										6-14
									",Cuala B,Craig McKeown St Annes
U16 Football League Div.7,06 May,19:30,Newcastle,St Finians N,"
										4-5
									","
										5-7
									",Ballinteer St Johns B,Robert Moore St Judes
U16 Football League Div.7,05 May,19:30,Ballycullen,Ballyboden St Endas C,"
										1-7
									","
										2-8
									",Lucan Sarsfields B,Pat Joyce St Judes
U16 Football League Div.7,05 May,19:30,Shanganagh Park,Cuala B,"
										6-7
									","
										2-7
									",Na Fianna B,John Rutherford Ballyboden St Enda
U16 Football League Div.7,28 Apr,19:00,Arthur Griffith Park,Lucan Sarsfields B,"
										1-2
									","
										4-2
									",Na Fianna B,Brian O Connor Westmanstown Gaels
U16 Football League Div.7,28 Apr,19:00,Pearse Park,St Agnes Crumlin Robert Emmets,"
										2-7
									","
										3-7
									",St Sylvesters B,Donal Downes Lucan Sarsfields
U16 Football League Div.7,09 Apr,15:00,Arthur Griffith Park,Lucan Sarsfields B,"
										5-8
									","
										3-14
									",Cuala B,Ronnie Malone-St Marys
U16 Football League Div.7,07 Apr,18:45,Loreto Park,Ballinteer St Johns B,"
										0-3
									","
										8-12
									",St Agnes Crumlin Robert Emmets,Paul Cullivan St Annes
U16 Football League Div.7,07 Apr,18:45,Johnstown Park,Na Fianna B,"
										1-13
									","
										4-2
									",Ballyboden St Endas C,Kevin Doherty Garda
U16 Football League Div.7,07 Apr,18:45,Broomfield,St Sylvesters B,"
										6-13
									","
										1-7
									",St Finians N,Conor Kavanagh Naomh Mearnog
U16 Football League Div.7,26 Mar,15:00,Shanganagh Park,Cuala B,"
										1-2
									","
										3-10
									",St Agnes Crumlin Robert Emmets,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.7,26 Mar,15:00,Newcastle,St Finians N,"
										6-7
									","
										7-12
									",Lucan Sarsfields B,Sean Ruane Templeogue Synge Street
U16 Football League Div.7,26 Mar,15:00,Malahide Castle,St Sylvesters B,"
										W/O
									","
										W/O
									",Na Fianna B,Eamonn Dromgoole English - Cuala
U16 Football League Div.7,26 Mar,13:30,Ballycullen,Ballyboden St Endas C,"
										2-6
									","
										0-4
									",Ballinteer St Johns B,Seamus Keher - Lucan Sarsfields
U16 Football League Div.7,12 Mar,15:15,Loreto Park,Ballinteer St Johns B,"
										W/O
									","
										W/O
									",Cuala B,Paul Cullivan St Annes
U16 Football League Div.7,12 Mar,15:00,Pearse Park,St Agnes Crumlin Robert Emmets,"
										3-7
									","
										2-4
									",Ballyboden St Endas C,Pat Joyce St Judes
U16 Football League Div.7,12 Mar,13:30,Arthur Griffith Park,Lucan Sarsfields B,"
										7-7
									","
										2-5
									",St Sylvesters B,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.7,26 Feb,15:00,Newcastle,St Finians N,"
										2-9
									","
										2-4
									",St Agnes Crumlin Robert Emmets,Donal Downes Lucan Sarsfields
U16 Football League Div.4,02 Jun,19:00,VEC,Templeogue Synge Street,"
										1-4
									","
										2-11
									",St Annes,Terry Carton Naomh Fionnbarra
U16 Football League Div.4,30 May,19:30,McGee Park,St Marks,"
										W/O
									","
										W/O
									",Raheny,Lee Moroney St Annes
U16 Football League Div.4,26 May,19:30,Naul,St Peters,"
										5-11
									","
										3-6
									",Raheny,Ian Howley-O Dwyers
U16 Football League Div.4,21 May,15:00,Chanel,Parnells,"
										W/O
									","
										W/O
									",St Marks,Conor Kavanagh Naomh Mearnog
U16 Football League Div.4,21 May,13:30,St Aidans School,Whitehall Colmcille,"
										0-11
									","
										2-12
									",St Patricks D,Derek Doran St Colmcilles
U16 Football League Div.4,17 May,19:30,Ballamastone-Donabate,St Patricks D,"
										3-8
									","
										1-8
									",Templeogue Synge Street,Joe Dromgoole Fingallians
U16 Football League Div.4,17 May,19:30,McGee Park,St Marks,"
										3-8
									","
										3-12
									",St Peters,Patrick Kelly St Kevins Killians
U16 Football League Div.4,17 May,19:30,St Annes 10,Raheny,"
										0-8
									","
										5-9
									",Parnells,Robert Fennelly Trinity Gaels
U16 Football League Div.4,17 May,19:30,Bohernabreena,St Annes,"
										3-10
									","
										4-22
									",Whitehall Colmcille,Conor Harahan Ballyboden St Enda
U16 Football League Div.4,05 May,19:30,St Aidans School,Whitehall Colmcille,"
										0-12
									","
										3-14
									",St Marks,Robert Carthy St Maurs
U16 Football League Div.4,05 May,19:30,Ballamastone-Donabate,St Patricks D,"
										2-9
									","
										2-9
									",Parnells,Derek McKittrick Fingallians
U16 Football League Div.4,05 May,19:30,Naul,St Peters,"
										2-19
									","
										4-12
									",St Annes,Ian Howley-O Dwyers
U16 Football League Div.4,05 May,19:30,Dolphin Park,Templeogue Synge Street,"
										2-5
									","
										3-7
									",Raheny,Bobby Moran St Judes
U16 Football League Div.4,07 Apr,18:45,McGee Park,St Marks,"
										4-13
									","
										0-6
									",Templeogue Synge Street,Lee Moroney St Annes
U16 Football League Div.4,07 Apr,18:45,Chanel,Parnells,"
										11-12
									","
										0-10
									",St Peters,Kevin Roche Whitehall Colmcille
U16 Football League Div.4,07 Apr,18:45,St Annes 10,Raheny,"
										3-11
									","
										2-4
									",Whitehall Colmcille,Dermot Deasy Ballymun Kickhams
U16 Football League Div.4,07 Apr,18:45,Bohernabreena,St Annes,"
										0-12
									","
										1-14
									",St Patricks D,John Rutherford Ballyboden St Enda
U16 Football League Div.4,26 Mar,15:00,Dolphin Park,Templeogue Synge Street,"
										4-9
									","
										2-8
									",St Peters,Sean Kelly - Lucan Sarsfields
U16 Football League Div.4,26 Mar,15:00,Ballamastone-Donabate,St Patricks D,"
										1-8
									","
										1-5
									",St Marks,Derek Doran St Colmcilles
U16 Football League Div.4,26 Mar,15:00,St Aidans School,Whitehall Colmcille,"
										0-15
									","
										5-18
									",Parnells,Chris McGinn Clontarf
U16 Football League Div.4,26 Mar,15:00,Bohernabreena,St Annes,"
										5-13
									","
										0-5
									",Raheny,John Rutherford Ballyboden St Enda
U16 Football League Div.4,12 Mar,15:00,McGee Park,St Marks,"
										0-7
									","
										2-6
									",St Annes,Shay Hurson-Lucan Sarsfields
U16 Football League Div.4,12 Mar,15:00,Naul,St Peters,"
										6-13
									","
										2-5
									",Whitehall Colmcille,John O Brien O Dwyers
U16 Football League Div.4,12 Mar,15:00,St Annes 10,Raheny,"
										1-7
									","
										0-6
									",St Patricks D,Chris McGinn Clontarf
U16 Football League Div.4,11 Mar,20:00,Chanel,Parnells,"
										6-18
									","
										0-7
									",Templeogue Synge Street,Damien Burnett Craobh Chiarain
U16 Football League Div.4,26 Feb,15:00,St Aidans School,Whitehall Colmcille,"
										
									","
										
									",Templeogue Synge Street,Dave Sweeney Nh. OP/ER
U16 Football League Div.4,26 Feb,15:00,Ballamastone-Donabate,St Patricks D,"
										4-3
									","
										2-11
									",St Peters,Damian Gilmore Skerries Harps
U16 Football League Div.4,26 Feb,15:00,Bohernabreena,St Annes,"
										1-10
									","
										3-12
									",Parnells,Craig Curtis Round Towers C
U16 Football League Div.9 (Revised),27 Nov,14:00,St Annes 12A,Raheny B,"
										4-14
									","
										2-8
									",Erins Isle B,TBC
U16 Football League Div.9 (Revised),28 Aug,15:30,Bremore Park,O Dwyers B,"
										
									","
										
									",Erins Isle B,Robert Fennelly Trinity Gaels
U16 Football League Div.9 (Revised),17 Aug,19:00,Ballycullen,Ballyboden St Endas C,"
										1-3
									","
										12-7
									",Raheny B,Shay Hurson-Lucan Sarsfields
U16 Football League Div.9 (Revised),17 Aug,19:00,Glencullen,Stars of Erin,"
										3-10
									","
										3-9
									",Erins Isle B,Caomhan Bermingham Nh. Olaf
U16 Football League Div.9 (Revised),07 Aug,15:30,Finglas,Erins Isle B,"
										W/O
									","
										W/O
									",Kilmacud Crokes C,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.9 (Revised),07 Aug,15:30,St Annes 10,Raheny B,"
										0-11
									","
										7-5
									",Stars of Erin,Mark McCabe-Trinity Gaels
U16 Football League Div.9 (Revised),07 Aug,15:30,Bremore Park,O Dwyers B,"
										0-12
									","
										1-2
									",Ballyboden St Endas C,Damien Gilmore Skerries Harps
U16 Football League Div.9 (Revised),26 Jul,20:00,Balbriggan,Kilmacud Crokes C,"
										W/O
									","
										W/O
									",O Dwyers B,Robert Fennelly  Trinity Gaels
U16 Football League Div.9 (Revised),10 Jul,15:30,Glencullen,Stars of Erin,"
										W/O
									","
										W/O
									",O Dwyers B,Caomhan Bermingham Nh. Olaf
U16 Football League Div.9 (Revised),09 Jul,19:30,Sancta Maria,Kilmacud Crokes C,"
										4-15
									","
										2-9
									",Ballyboden St Endas C,Robert Doyle - Round Towers C
U16 Football League Div.9 (Revised),09 Jul,19:30,St Annes 10,Raheny B,"
										5-3
									","
										2-6
									",Erins Isle B,Danny Harrington St Sylvesters
U16 Football League Div.9 (Revised),26 Jun,14:00,Bremore Park,O Dwyers B,"
										W/O
									","
										W/O
									",Raheny B,Damien Gilmore Skerries Harps
U16 Football League Div.9 (Revised),26 Jun,14:00,Silver Park,Kilmacud Crokes C,"
										4-3
									","
										10-3
									",Stars of Erin,Dave O Donovan St Marks
U16 Football League Div.9 (Revised),26 Jun,14:00,Ballycullen,Ballyboden St Endas C,"
										0-4
									","
										10-9
									",Erins Isle B,Anthony Clinton-Croi Ro Naofa
U16 Football League Div.9 (Revised),19 Jun,15:30,St Annes 10,Raheny B,"
										W/O
									","
										W/O
									",Kilmacud Crokes C,Eamon Bryce Whitehall Colmcille
U16 Football League Div.9 (Revised),19 Jun,15:30,Glencullen,Stars of Erin,"
										11-11
									","
										3-3
									",Ballyboden St Endas C,Robert Doyle - Round Towers C
U16 Football League Div.9 (Revised),19 Jun,15:30,Finglas,Erins Isle B,"
										W/O
									","
										W/O
									",O Dwyers B,John Higgins Na Fianna
U16 Football League Div.2,28 Aug,15:30,Malahide Castle,St Sylvesters A,"
										2-14
									","
										1-10
									",Cuala A,Derek Doran  St Colmcilles
U16 Football League Div.2,27 Aug,19:30,Saggart,St Marys S A,"
										1-12
									","
										9-11
									",Raheny A,Dean Alford Round Towers C
U16 Football League Div.2,17 Aug,19:00,Saggart,St Marys S A,"
										3-4
									","
										4-17
									",St Sylvesters A,Senan Finucane-Templeogue Synge Street
U16 Football League Div.2,17 Aug,19:00,Porterstown,Castleknock A,"
										4-13
									","
										5-6
									",St Judes A,Brian O Connor Westmanstown Gaels
U16 Football League Div.2,17 Aug,19:00,St Annes 10,Raheny A,"
										6-15
									","
										1-9
									",Skerries Harps A,Robert Fennelly  Trinity Gaels
U16 Football League Div.2,17 Aug,19:00,St Aidans School,Whitehall Colmcille A,"
										0-11
									","
										4-11
									",Cuala A,Rory Hanley St Brigids
U16 Football League Div.2,07 Aug,15:30,Townparks,Skerries Harps A,"
										5-9
									","
										1-10
									",Castleknock A,Ian Howley-O Dwyers
U16 Football League Div.2,07 Aug,15:30,Tymon Park,St Judes A,"
										0-3
									","
										4-10
									",Raheny A,Senan Finucane-Templeogue Synge Street
U16 Football League Div.2,07 Aug,15:30,Malahide Castle,St Sylvesters A,"
										2-8
									","
										1-10
									",Whitehall Colmcille A,Terry Carton  Naomh Fionnbarra
U16 Football League Div.2,07 Aug,15:30,Shanganagh Park,Cuala A,"
										8-16
									","
										1-5
									",St Marys S A,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.2,13 Jul,19:30,Saggart,St Marys S A,"
										W/O
									","
										W/O
									",Skerries Harps A,Senan Finucane-Templeogue Synge Street
U16 Football League Div.2,13 Jul,19:30,Porterstown,Castleknock A,"
										3-14
									","
										8-12
									",Cuala A,Sean Dunican - Nh. OP/ER
U16 Football League Div.2,13 Jul,19:30,Malahide Castle,St Sylvesters A,"
										5-11
									","
										1-14
									",Raheny A,Derek Doran  St Colmcilles
U16 Football League Div.2,13 Jul,19:30,St Aidans School,Whitehall Colmcille A,"
										2-11
									","
										1-9
									",St Judes A,Ian Howley-O Dwyers
U16 Football League Div.2,10 Jul,15:30,Townparks,Skerries Harps A,"
										4-13
									","
										1-7
									",Whitehall Colmcille A,Ian Howley-O Dwyers
U16 Football League Div.2,10 Jul,15:30,Tymon Park,St Judes A,"
										3-9
									","
										2-4
									",St Marys S A,Paul Flanagan-St James Gaels
U16 Football League Div.2,10 Jul,15:30,St Annes 10,Raheny A,"
										5-15
									","
										1-10
									",Castleknock A,Eamon Bryce Whitehall Colmcille
U16 Football League Div.2,10 Jul,15:30,Shanganagh Park,Cuala A,"
										2-17
									","
										3-7
									",St Sylvesters A,Daniel Hussey  Geraldine P Moran
